등록번호,청구기호,소장/대여,제목,분야,유형,연도,판형,면수,부수,종이,인쇄 및 후가공,제본,ISBN/ISSN,저자/작가,기획자/편집자,사진가/일러스트레이터,디자이너,발행처,발행일,후원,원본경로
0075,00 A 055,국현,이승조: 도열하는 기둥,미술,도록,2020,220×270,292,1300,인스퍼 러프; 엔티랏샤; 비비칼라; 매직칼라; 아트지,오프셋 인쇄; 별색 인쇄; 자켓에 라미네이팅; 자켓에 박; 표지에 박; 내지에 바니시 코팅,PUR 제본; 오타바인딩; 자켓,978-89-6303-249-8,조앤 기; 권영진; 멜리사 추; 이영준; 이일; 조수진,이진실,김진호; 장준호,프론트도어,국립현대미술관,2020.10.28.,,프론트도어/프론트도어-이승조 도록20201015
0076,00 A 056,O,미술이 문학을 만났을 때,미술; 문학,도록,2021,188×250,424,1000,아라벨; 비비칼라; 미라클,오프셋 인쇄; 표지에 박,사철 제본; 오리꼬미,978-89-6303-260-3,,김인혜,,워크룸,국립현대미술관,2021.02.03.,,02워크룸1층/2021/미술이 문학을 만났을 때 도록
0077,00 A 057,O,박수근: 봄을 기다리는 나목,미술,도록,2021,188×250,344,,,,,978-89-6303-292-4,,김예진; 장래주,및,아르티장플레이스,국립현대미술관,2021.11.11.,가나문화재단; 갤러리현대,01거래처/아르티장/아르티장-덕수궁-박수근전20211101
0078,00 A 058,국현,어쩌다 개방 수장고? 그럼에도 조각!,미술,도록,2021,135×220,328,1000,문켄 프린트; 인스퍼,오프셋 인쇄; 표지에 형압,사철 PUR 제본; 날개,978-89-6303-299-3,권희홍; 김유진; 김은지; 김이순; 박미화; 안소연; 이임수; 임대근,김유진; 장래주; 류동현,우종덕,강경탁,국립현대미술관,2021.12.27.,,05강경탁과 페도라/페도라-국립현대미술관 청주 자료집20211222
0079,00 A 059,국현,"이승택: 거꾸로, 비미술",미술,도록,2021,225×285,512,1000,인스퍼 스무스; 매직칼라; 인스퍼 러프,오프셋 인쇄; 표지에 CR 코팅; 표지에 박,사철 제본; 오리꼬미; 날개,978-89-6303-261-0,,배명지,,워크룸,국립현대미술관,2021.03.05.,,02워크룸1층/2021/이승택 도록 제작용
0080,00 A 060,국현,"최욱경, 앨리스의 고양이",미술,도록,2021,225×270,256,1000,탄트셀렉트; 매그; 미라클,오프셋 인쇄; 표지에 박; 표지에 형압,사철 제본; 둥근양장; 헤드밴드; 가름끈,978-89-6303-293-1,박은영; 조성란; 빅토리아성; 전유신,전유신,장준호; 김진현,워크룸,국립현대미술관,2021.12.29.,,02워크룸1층/2021/최욱경20211203
0081,00 A 061,O,생의 찬미,미술,도록,2022,,,,,,,,,,,프론트도어,국립현대미술관,,,
0082,00 A 062,O,Korea in Color: A Legacy of Auspicious Images,미술,도록,2023,225×230,184,500,큐리어스 매터; 매직칼라; 앙상블,오프셋 인쇄; 별색 인쇄; 표지에 UV 출력,PUR 제본,978-89-6303-368-6,정병모; 윤진영; 신기혜; 왕신연; Rachel Jans; 이정원,신기혜; 장래주,김국화; 김진현,프론트도어,국립현대미술관,2023.09.25.,,프론트도어/프론트도어-생의찬미(영문)20230905
0083,00 A 063,O,프로젝트 해시태그 2021,미술,도록,2022,163×230,264,500,아티젠; 비세븐; 밍크,오프셋 인쇄; 별색 인쇄; 표지에 코팅; 케이스에 UV 출력,PUR 제본; 케이스,978-89-6303-305-1,,이수연; 유채린,김경태,개미그래픽스,국립현대미술관,2022.02.28.,,01거래처/ant graphics(김은지)/ant graphics- 해시태그도록과케이스20220208
0084,00 A 064,국현,프로젝트 해시태그 2023,미술,도록,2024,165×225,224,,,오프셋 인쇄; 표지에 박,,978-89-6303-395-2,,김형미; 이솜이,박수환,신신,국립현대미술관,2024.03.26.,현대자동차,신신/신신-해시태그 프로젝트20240318
0085,00 A 065,,다다익선: 즐거운 협연,미술,도록,2022,110×190,488,500,티엠보스; 비비칼라; 아도니스 러프,오프셋 인쇄,PUR 제본,978-89-6303-330-3,백남준,박영란; 이지희; 송초롱; 최소영,이은주,워크룸; 플레이트,국립현대미술관,2022.09.15.,(주)세아제강,02워크룸1층/2022/백남준 다다익선20220829
0086,00 A 066,O,달팽이걸음,미술,도록,2022,190×245,304,,,오프셋 인쇄; 표지에 에폭시,사철 제본; 각양장,978-89-6303-073-9,이건용,페도라 프레스,,김명현,국립현대미술관,2022.,,이사님 데스크톱/강경탁:페도라/페도라프레스/페도라프레스-이건용도록20220328
0087,00 A 067,장영웅,"미술로, 세계로",미술,도록,2022,220×225,263,,,오프셋 인쇄; 표지에 박; 표지에 형압,무선 제본,978-89-6303-302-0,양은희; 오광수; 이효진; 정은영; 한승혜; 르네 블록,이효진; 장래주,김진현; 이현무,황석원; 전용완,국립현대미술관,2022.01.20.,,황석원/황석원(전용완)-국현(청주관)미술로 세계로20220110
0088,00 A 068,국현,아이 웨이웨이: 인간미래,미술,도록,2022,250×252,216,500,티엠보스; 비비칼라; 아티젠,오프셋 인쇄; 별색 인쇄; 표지에 박,사철 제본; 둥근양장; 헤드밴드; 가름끈,978-89-6303-287-0,이수정; 정창미; 권은영; 최종철; 프리데리케 시글러; 황치엔훙,,홍철기,워크룸,국립현대미술관,2022.08.,,02워크룸1층/2022/아이 웨이웨이 도록20220311
0089,00 A 069,O,국립현대미술관 이건희컬렉션,미술,도록,2023,225×290,905,,,,,978-89-6303-386-0,김영나; 홍선표; 김인혜; 전유신,이사빈; 양지윤; 이민훈; 이성임,김국화; 김진현; 안희상,물질과 비물질; 최홍주,국립현대미술관,2023.12.06.,,보스토크프레스/보스토크프레스-이건희콜렉션20231206
0090,00 A 070,국현,백 투 더 퓨처: 한국 현대미술의 동시대성 탐험기,미술,도록,2023,170×240,248,,,오프셋 인쇄; 표지에 UV 코팅,,978-89-6303-365-5,,장래주; 류동현,이미지 줌,강경탁,국립현대미술관,2023.08.30.,,이사님 데스크톱/강경탁:페도라/페도라프레스/페도라프레스-백투더퓨처20230811
0091,00 A 071,국현,전시의 전시,미술,도록,2023,254×188,376,,모조지; 인스퍼 러프; 버펄로; 매직칼라,오프셋 인쇄; 표지에 박,사철 제본; 둥근양장; 가름끈,978-89-6303-355-6,김동일; 김유진; 양지연; 이보경; 이지희; 임대근,김유진,우종덕,6699프레스,국립현대미술관,2023.03.29.,,6699프레스/6699프레스-국립현대미술관_도록2023
0092,00 A 072,장영웅,한국의 기하학적 추상미술,미술,도록,2023,220×280,296,,모조지; 아티젠,오프셋 인쇄; 표지에 박,,978-89-6303-376-1,강은아; 권영진; 서유리; 전유신; 조수진,전유신; 고결; 안세은,김진현; 김국화; 봄,진달래&박우혁,국립현대미술관,2023.11.14.,무림페이퍼,진달래박우혁/진달래박우혁-한국의기하학적 추상미술1025
0093,00 A 073,O,MMCA 기증작품전: 1960–1970년대 구상회화,미술,도록,2024,170×240,144,800,아르떼; 비비칼라,오프셋 인쇄; 표지에 CR 코팅,사철 제본,978-89-6303-290-0,도화진,임대근; 도화진; 고결,,워크룸,국립현대미술관,2024.05.20.,,워크룸1/국립현대미술관 기증작품전 도록
0094,00 A 074,O,"風來水面時 풍래수면시, 이강소의 생각",미술,도록,2024,170×240,212,1000,아티젠; 인스퍼 러프,오프셋 인쇄; 표지에 라미네이팅; 표지에 에폭시; 표지에 박,무선 제본; 날개,978-89-6303-416-4,이강소,이수연; 장래주,이강소; 박찬우,물질과 비물질,국립현대미술관,2024.11.01.,신영증권; 무림페이퍼,00/2024년 10월작업진행/김종소리-이강소도록20241022
0095,00 A 075,국현,가변하는 소장품,미술,도록,2024,185×245,104,500,문켄 크리스털; 인스퍼 스무스,오프셋 인쇄; 별색 인쇄,노출 사철 제본,978-89-6303-401-0,,홍이지; 황은,홍철기,김성구,국립현대미술관,2024.05.30.,,김성구/김성구-가변하는 소장품 도록20240507
0096,00 A 076,O,김구림,미술,도록,2024,170×240,560,,,,,978-89-6303-391-4,김구림,류동현; 우현정,이미지줌; 코코아픽쳐스,강경탁,국립현대미술관,2024.01.30.,,이사님 데스크톱/강경탁:페도라/페도라프레스-MMCA 김구림20240126
0097,00 A 077,O,MMCA×LG OLED 시리즈 2025 — 추수 아가몬 대백과: 외부 유출본 (상),미술,도록,2025,135×225,272,500,티엠보스; 매직칼라; 클라우드,오프셋 인쇄; 별색 인쇄; 표지에 박,사철 제본; 둥근양장; 헤드밴드; 가름끈,978-89-6303-446-1,추수; 박덕선; 엠마 엔더비,박덕선; 박은지,추수,워크룸,국립현대미술관,2025.07.20.,,워크룸1/워크룸-추수 선도록20250714
0098,00 A 078,O,MMCA×LG OLED 시리즈 2025 — 추수 아가몬 대백과: 외부 유출본 (하),미술,도록,2025,135×225,288,500,아트지; 매직칼라; 아티젠,오프셋 인쇄; 별색 인쇄; 표지에 코팅; 표지에 박,사철 제본; 둥근양장; 헤드밴드; 가름끈,978-89-6303-456-0,추수; 노고운,박덕선; 박은지,홍철기; 추수,워크룸,국립현대미술관,2025.10.30.,,워크룸1/워크룸-추수 후도록20251027
0099,00 A 079,O,MMCA 과천 상설전: 한국근현대미술,미술,도록,2025,148×220,416,2000,티엠보스; 매직칼라; 아티젠,오프셋 인쇄; 별색 인쇄; 표지에 UV 출력,사철 제본; 각양장; 가름끈; 헤드밴드,978-89-6303-444-7,,이수정; 이현주; 장래주; 정지혜; 고결; 최혜미,,워크룸,국립현대미술관,2025.06.25.,무림페이퍼,워크룸1/워크룸-국립현대미술관 상설전 도록202500609
0100,00 A 080,O,MMCA 서울 상설전: 한국현대미술 하이라이트,미술,도록,2025,148×220,256,2000,티엠보스; 매직칼라; 아티젠,오프셋 인쇄; 별색 인쇄; 표지에 UV 출력,사철 제본; 각양장; 가름끈; 헤드밴드,978-89-6303-443-0,,배명지; 장래주; 허태영; 최혜미,,워크룸,국립현대미술관,2025.06.25.,무림페이퍼,워크룸1/워크룸-국립현대미술관 상설전 도록202500609
0101,00 A 081,O,MMCA 해외 명작: 수련과 샹들리에,미술,도록,2025,115×150,400,,,오프셋 인쇄; 표지에 박,,978-89-6303-457-7,,김유진; 장래주; 정지혜; 최혜미; 임대근; 손주영,,정사록,국립현대미술관,2025.10.02.,,00/2025년 09월작업진행/사록 sarok-국현 과천20250917
0102,00 A 082,O,론 뮤익,미술,도록,2025,210×270,168,,,오프셋 인쇄; 표지에 박,무선 제본,978-89-6303-438-6,고티에 드블롱드; 안소연; 홍이지; 찰리 클라크; 키아라 아그라디,홍이지; 장래주,,Essential Resource,국립현대미술관,2025.04.10.,,00/2025년 06월작업진행/ER(황석원)-국립현대 론뮤악도록20250604
0103,00 A 083,국현,이강소: 風來水面時 풍래수면시,미술,도록,2025,210×275,368,1000,티엠보스; 인스퍼 러프; W라이트; 그문드 컬러매트,오프셋 인쇄; 표지에 형압; 표지에 박; 표지에 스티커 부착,사철 제본; 둥근양장; 헤드밴드; 가름끈,978-89-6303-433-1,미네무라 도시아키; 이강소; 정연심; 후준,이수연; 장래주,박찬우; 이강소,물질과 비물질,국립현대미술관,2025.02.28.,,00/2025년 02월작업진행/김종소리-이강소(2차)20250217
0104,00 A 084,O,로드 무비: 1945년 이후 한·일 미술,미술,도록,2026,180×250,304,1000,티엠보스; 매직칼라; 아르떼,오프셋 인쇄; 별색 인쇄; 표지에 CR 코팅,사철 제본; 둥근양장; 가름끈; 헤드밴드,978-89-6303-485-0,권행가; 박소현; 지바 시게오; 이나바 마이; 김성희; 전유신; 구라야 미카; 히비노 민용,전유신; 장래주; 김민지; 양지현; 최혜미,,워크룸,국립현대미술관,2026.05.14.,한국제지,워크룸1/워크룸-로드 무비 도록20260417
0105,00 A 085,O,The Square: Art and Society in Korea 1900–2019,미술,도록,2019,180×240,489,,인스퍼 러프,,,979-11-967771-2-8,윤범모; 강승완; 김미영; 김인혜; 김현숙; 최열; 홍지석; 권보드래; 강수정; 김원; 김학량; 신충훈; 윤소림; 이현주; 정다형; 성용희; 양효실; 이경미; 이사빈; 임재희,보스토크프레스,,보스토크프레스,국립현대미술관문화재단,2019.12.20.,,보스토크프레스/보스토크프레스-국현광장 영문판20191213
0106,00 A 086,국현,권민호: 회색 숨,미술,도록,2020,250×252,108,1000,마시멜로우; 유니트,오프셋 인쇄; 표지에 코팅,사철 제본; 각양장; 자켓; 헤드밴드; 가름끈,979-11-967771-8-0,,원도이; 이유제,이우제,워크룸,국립현대미술관문화재단,2020.12.31.,,02워크룸1층/2020/권민호 도록
0107,00 A 087,O,"모두를 위한 미술관, 개를 위한 미술관",미술,도록,2020,135×210,288,1000,M매트; 인스퍼 에그쉘; 매직칼라,오프셋 인쇄; 표지에 박,사철 PUR 제본; 날개,979-11-967771-5-9,,성용희; 장래주; 류동현,,강경탁,국립현대미술관문화재단,2020.06.25.,,05강경탁과 페도라/페도라-모두를 위한 미술관 개를 위한 미술관20200617
0108,00 A 088,국현,"박래현, 삼중통역자",미술,도록,2020,148×210,136,1500,인스퍼 러프; 아스트로프리미엄; 밍크,오프셋 인쇄; 표지에 박,무선 제본; 날개,979-11-967771-7-3,강민기; 김경연; 김예진; 윤소림; 이효진; 전유신,김예진; 장래주; 류동현,,강경탁,국립현대미술관문화재단,2020.09.24.,,05강경탁과 페도라/페도라프레스-박래현 소도록20200915
0109,,,"판화, 판화, 판화",미술,도록,2020,182×257,240,,,오프셋 인쇄; 표지에 박,,979-11-967771-6-6,최희승; 고충환; 안진국,장래주; 류동현,화수목 스튜디오,강경탁,국립현대미술관문화재단,2020.08.14.,,05강경탁과 페도라/페도라프레스-판화전 도록20200812
0110,,,"예술+농촌, 공감",미술,도록,2018,188×245,40,200,몽블랑; 젠틀페이스; 인버코트,오프셋 인쇄,무선 제본,,김기라; 김형규; 백정기; 이동욱; 이진경,류동현; 페도라 프레스,,강경탁; 장윤정,농림축산식품부,,,05강경탁과 페도라/2018/농촌_도시
0111,00 A 089,O,앤디 워홀: 예술을 팔다,미술,도록,2026,,,,,,,,,,,,대구문화예술회관,,,
0112,00 A 090,김은지,임동식: 사계절의 선에서,미술,도록,2024,188×260,80,200,클래식 텍스처; 인스퍼 러프,오프셋 인쇄,무선 제본,979-11-6022-160-2,임동식,김민경,팔사진관,개미그래픽스,대전시립미술관,2024.09.30.,,01거래처/ant graphics(김은지)/ant graphics-대전시립미술관20240911
0113,00 A 091,O,유근영: 엉뚱한 자연,미술,도록,2025,188×260,80,200,인스퍼 러프,오프셋 인쇄; 표지에 코팅,무선 제본,979-11-6022-164-0,유근영,김민경,양이언,물질과 비물질,대전시립미술관,2025.07.31.,,00/2025년 07월작업진행/김종소리-엉뚱한자연_도록20250721
0114,00 A 092,O,앤디 워홀: 예술을 팔다,미술,도록,2026,220×280,192,1000,스타드림; 아르떼,오프셋 인쇄; 별색 인쇄; 표지에 UV 출력,사철 제본,979-11-6022-252-4,앤디 워홀; 폴 마레샬; 이인범,폴 마레샬,,워크룸,대전시립미술관,2026.03.,주한미국대사관,워크룸1/워크룸-앤디워홀 도록20260304
0115,00 A 093,O,"함께, 보다. — 청와대 소장품 특별전",미술,도록,2018,100×230,72,,,오프셋 인쇄; 표지에 박,사철 제본; 각양장; 오리꼬미; 케이스,,,,,CBR Graphic,대통령비서실,2018.05.09.,,
0116,,,"드로잉, 생각의 시작",미술,도록,2013,220×280,164,,,,,,,(사)드로잉 비엔날레 DMZ 헤이리 사무국,,워크룸,드로잉 비엔날레 DMZ 헤이리,,경기문화재단; 경기관광공사,03워크룸2층/2013/드로잉비엔날레
0117,,,잠금해제,미술,도록,2019,182×257,104,400,스노우지; 모조지; 젠틀페이스,오프셋 인쇄; 표지에 박,무선 제본; 날개,979-11-87593-59-1,잭슨홍; 정이삭; 언메이크랩; 백승우; 김영철; 진달래; 박우혁; 홍진훤; 일상의실천,디자인누하,장현수; 서영걸,강경탁,민주화운동기념사업회,2019.09.10.,,01거래처/디자인누하/디자인누하-잠금해제 전 도록20190910
0118,,,우리의 밝은 미래—사이버네틱 환상,미술,도록,2017,180×250,192,,,,,978-89-97128-37-2,구정화; 이수영,구정화; 이수영; 언메이크랩,조영하,오디너리피플,백남준아트센터,2017.11.05.,,01거래처/오디너리피플/오디너리피플-백남준아트도록20171121
